➜  math412-final-project git:(master) ✗ python analyze_spotify_misses.py
Best Classical Performance - Vocal Soloist (With Or Without Orchestra) :  5
Best Female Country Vocal Performance :  5
Best Song Written For Visual Media :  5
Best Instrumental Soloist Performance (Without Orchestra) :  5
Best Rap Performance :  5
Best Male R&B Vocal Performance :  5
Best R&B Performance By A Duo Or Group With Vocals :  5
Best Latin Jazz Performance :  5
Best Classical Performance - Instrumental Soloist Or Soloists (With Or Without Orchestra) :  5
Best Jazz Performance By A Group :  5
Best Jazz Vocal Performance :  5
Best Female R&B Vocal Performance :  5
Best Spoken Word, Documentary Or Drama Recording :  5
Best Soul Gospel Performance, Female :  5
Best Gospel Performance, Female :  5
Best Classical Instrumental Solo :  5
Best Classical Choral Performance (Other Than Opera) :  5
Best Jazz Performance By A Big Band :  5
Best Original Jazz Composition :  5
Best Jazz Instrumental Performance, Soloist :  6
Best Traditional Blues Recording :  6
Best Small Ensemble Performance :  6
Best Gospel Performance, Traditional :  6
Best Classical Orchestral Recording :  6
Best Improvised Jazz Solo :  6
Best Jazz Vocal Performance, Duo Or Group :  6
Best Inspirational Performance :  6
Best Jazz Vocal Performance, Male :  6
Best Country Vocal Performance By A Duo Or Group :  6
Best Jazz Vocal Performance, Female :  6
Best Dance Recording :  6
Best Latin Recording :  7
Best Polka Recording :  7
Best Spoken Word Or Non-Musical Recording :  7
Best Traditional R&B Vocal Performance :  7
Best R&B Vocal Performance, Male :  7
Best R&B Vocal Performance By A Duo, Group Or Chorus :  7
Best Gospel Performance (Other Than Soul Gospel) :  7
Best Large Jazz Ensemble Performance :  7
Best Hard Rock Performance :  7
Best Song Written Specifically For A Motion Picture Or For Television :  7
Best Choral Performance, Classical (Other Than Opera) :  7
Best Latin Pop Performance :  8
Best Comedy Recording :  8
Best Gospel Performance :  8
Best R&B Vocal Performance, Female :  8
Best Metal Performance :  8
Best R&B Performance By A Duo Or Group With Vocal :  8
Best Arrangement Accompanying Vocalist(s) :  8
Best Arrangement On An Instrumental :  9
Best Rap/Sung Collaboration :  9
Best Jazz Instrumental Performance, Group :  9
Best Classical Performance - Instrumental Soloist Or Soloists (Without Orchestra) :  9
Best Soul Gospel Performance :  9
Best Engineered Recording - Classical :  9
Best Instrumental Soloist(s) Performance (with Orchestra) :  10
Best Instrumental Soloist Performance (without Orchestra) :  10
Best Spoken Word Recording :  10
Best Classical Performance - Instrumental Soloist Or Soloists (With Orchestra) :  10
Best R&B Instrumental Performance :  10
Best R&B Song :  11
Best Rap Performance By A Duo Or Group :  11
Best Rap Song :  11
Best Country Collaboration With Vocals :  12
Best Rock Performance By A Duo Or Group With Vocal :  12
Best Instrumental Arrangement Accompanying Vocal(s) :  12
Best Pop Collaboration With Vocals :  12
Best Rock Song :  12
Best Jazz Instrumental Performance, Big Band :  13
Best Instrumental Arrangement Accompanying Vocalist(s) :  13
Best Pop Performance By A Duo Or Group With Vocal :  13
Best Performance By A Chorus :  14
Best Jazz Instrumental Solo :  14
Best Classical Performance - Orchestra :  14
Best Choral Performance (Other Than Opera) :  15
Best Remixed Recording, Non-Classical :  15
Best Country Performance By A Duo Or Group With Vocal :  17
Best Rhythm & Blues Song :  17
Record Of The Year :  18
Best Classical Vocal Performance :  20
Best Engineered Recording, Classical :  21
Best Classical Vocal Soloist Performance :  21
Best Choral Performance :  21
Best Rock Instrumental Performance :  21
Best Country Instrumental Performance :  21
Best Pop Instrumental Performance :  23
Best Instrumental Composition :  24
Best Engineered Recording - Non-Classical :  24
Best Orchestral Performance :  28
Best Recording For Children :  29
Best Instrumental Arrangement :  30
Best Country Song :  34
Song Of The Year :  34
Best Chamber Music Performance :  43
Best Opera Recording :  55
